15	15	E	-1.1561375085561074E7	169
emissionprobs	2	8	H3k4me2StdAlnRep1	0	0.9345514024708103
emissionprobs	2	8	H3k4me2StdAlnRep1	1	0.06544859752918974
emissionprobs	2	9	H3k4me3StdAlnRep1	0	0.8625951567174237
emissionprobs	2	9	H3k4me3StdAlnRep1	1	0.13740484328257627
emissionprobs	2	10	H3k79me2AlnRep1	0	0.9724865320161125
emissionprobs	2	10	H3k79me2AlnRep1	1	0.027513467983887527
emissionprobs	2	11	H3k9acStdAlnRep1	0	0.9721338243322423
emissionprobs	2	11	H3k9acStdAlnRep1	1	0.027866175667757693
emissionprobs	2	12	H3k9me1StdAlnRep1	0	0.8739043333740857
emissionprobs	2	12	H3k9me1StdAlnRep1	1	0.12609566662591432
emissionprobs	2	13	H4k20me1StdAlnRep1	0	0.7766674397193242
emissionprobs	2	13	H4k20me1StdAlnRep1	1	0.22333256028067583
emissionprobs	2	14	Pol2bStdAlnRep1	0	0.829015647646123
emissionprobs	2	14	Pol2bStdAlnRep1	1	0.17098435235387702
emissionprobs	3	0	CtcfStdAlnRep1	0	0.9793556672826547
emissionprobs	3	0	CtcfStdAlnRep1	1	0.020644332717345264
emissionprobs	3	1	Ezh239875AlnRep1	0	0.9981349143915129
emissionprobs	3	1	Ezh239875AlnRep1	1	0.0018650856084871084
emissionprobs	3	2	H2azAlnRep1	0	0.9992438377448792
emissionprobs	3	2	H2azAlnRep1	1	7.561622551207467E-4
emissionprobs	3	3	H3k09me3AlnRep1	0	0.9981323251207429
emissionprobs	3	3	H3k09me3AlnRep1	1	0.0018676748792571497
emissionprobs	3	4	H3k27acStdAlnRep1	0	0.9840008202195053
emissionprobs	3	4	H3k27acStdAlnRep1	1	0.015999179780494727
emissionprobs	3	5	H3k27me3StdAlnRep1	0	0.9998742592109006
emissionprobs	3	5	H3k27me3StdAlnRep1	1	1.2574078909945838E-4
emissionprobs	3	6	H3k36me3StdAlnRep1	0	0.5797121576061405
emissionprobs	3	6	H3k36me3StdAlnRep1	1	0.4202878423938596
emissionprobs	3	7	H3k4me1StdAlnRep1	0	0.9897332949420187
emissionprobs	3	7	H3k4me1StdAlnRep1	1	0.010266705057981294
emissionprobs	3	8	H3k4me2StdAlnRep1	0	0.9991532160275364
emissionprobs	3	8	H3k4me2StdAlnRep1	1	8.467839724636195E-4
emissionprobs	3	9	H3k4me3StdAlnRep1	0	0.9998306014994031
emissionprobs	3	9	H3k4me3StdAlnRep1	1	1.6939850059699565E-4
emissionprobs	3	10	H3k79me2AlnRep1	0	0.9450668843437234
emissionprobs	3	10	H3k79me2AlnRep1	1	0.05493311565627665
emissionprobs	3	11	H3k9acStdAlnRep1	0	0.9984894354901079
emissionprobs	3	11	H3k9acStdAlnRep1	1	0.0015105645098920453
emissionprobs	3	12	H3k9me1StdAlnRep1	0	0.9928316154026167
emissionprobs	3	12	H3k9me1StdAlnRep1	1	0.007168384597383257
emissionprobs	3	13	H4k20me1StdAlnRep1	0	0.9882549721908281
emissionprobs	3	13	H4k20me1StdAlnRep1	1	0.0117450278091718
emissionprobs	3	14	Pol2bStdAlnRep1	0	0.8793832743052477
emissionprobs	3	14	Pol2bStdAlnRep1	1	0.12061672569475242
